Timestamp,Images,Batch,Device,Duration_Sec,Img_Per_Sec,GPU_Avg,GPU_Max,RAM_Avg,RAM_Max,CPU_Avg,Spark_Driver_Mem,Spark_OffHeap
2025-11-26 22:33:27,3680,64,cuda,67.10,54.85,38.39,100.0,83.62,99.9,39.15,8g,4g
2025-11-27 18:07:11,3680,8,cuda,164.50,22.37,20.79,100.0,72.75,99.1,8.93,8g,4g
2025-11-28 01:36:30,3680,8,cuda,10767.79,0.34,96.72,100.0,45.45,46.2,12.71,8g,4g
2025-11-28 12:59:59,3680,16,cuda,8029.47,0.46,92.57,100.0,36.19,36.9,6.42,8g,4g
2025-11-28 21:44:13,33120,16,cuda,867.03,38.20,97.88,100.0,33.59,38.1,8.33,8g,4g
2025-11-28 22:26:48,33120,16,cuda,867.03,38.20,98.04,100.0,34.21,40.5,8.26,8g,4g
2025-11-29 01:48:52,3680,16,cuda,8403.20,0.44,90.92,100.0,36.19,36.9,6.46,8g,4g
2025-11-29 02:09:30,33120,16,cuda,864.93,38.29,98.1,100.0,32.92,38.9,8.41,8g,4g
2025-11-29 02:58:37,99360,16,cuda,2590.83,38.35,98.85,100.0,34.23,38.1,8.44,8g,4g
2025-11-29 03:14:38,0,16,cpu,69.19,0.00,0.04,2.0,26.76,38.2,15.44,8g,4g
2025-11-29 03:30:36,0,16,cpu,36.94,0.00,0.45,15.0,28.09,45.0,42.28,8g,4g
